Organism,Sample,Dataset,Instrument,Separation Type,Type,Acquisition Start,Acquisition End,Scan Count,Acq Length,param_num
Bartonella_henselae_Houston-1,Bhens_OM_02_13,Bhens_OM_02_13_12Sep12_Earth_12-04-16,VOrbi05,LC-ISCO-Formic_100minute,HMS-MSn,9/13/2012 12:27 PM,9/13/2012 2:06 PM,28776,99,0
Bartonella_henselae_Houston-1,Bhens_IM_02_04,Bhens_IM_02_04_Ahrens_12Oct11_Lynx_11-08-11,VOrbiETD03,LC-Agilent-2D-Formic,HMS-HCD-HMSn,10/12/2011 5:37 PM,10/12/2011 7:16 PM,9180,99,1
Bartonella_henselae_Houston-1,Bhens_IM_02_08,Bhens_IM_02_08_Ahrens_12Oct11_Lynx_11-08-11,VOrbiETD03,LC-Agilent-2D-Formic,HMS-HCD-HMSn,10/13/2011 12:18 AM,10/13/2011 1:57 AM,8784,99,1
Cyanobacterium_synechocystis_PCC6803,HLP_TR2_01,HLP_TR2_01_3Oct12_Cougar_12-06-10,VOrbiETD02,LC-Agilent-Formic_100minute,HMS-MSn,10/4/2012 6:19 AM,10/4/2012 7:58 AM,31647,99,0
Cyanobacterium_synechocystis_PCC6803,HLP_Ana_InSl,HLP_Ana_InSl_10_21Jun12_Tiger_12-05-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,6/24/2012 11:34 AM,6/24/2012 1:13 PM,25082,99,0
Cyanobacterium_synechocystis_PCC6803,6803_totalCys1_pept,6803_totalCys1_pept_18Sep12_Earth_12-04-17,VOrbi05,LC-ISCO-Formic_100minute,HMS-HCD-HMSn,9/19/2012 4:05 AM,9/19/2012 5:45 AM,7250,100,1
Cyanobacterium_synechocystis_PCC6803,HLP_Ana_Sl,HLP_Ana_Sl_10_21Jun12_Tiger_12-05-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,6/23/2012 12:17 AM,6/23/2012 1:56 AM,27990,99,0
Cyanobacterium_synechocystis_PCC6803,HLP_TR2_11,HLP_TR2_11_5Oct12_Cougar_12-06-10,VOrbiETD02,LC-Agilent-Formic_100minute,HMS-MSn,10/5/2012 10:09 PM,10/5/2012 11:48 PM,26697,99,0
Cyanobacterium_synechocystis_PCC6803,HLP_Ana_InSl,HLP_Ana_InSl_12_21Jun12_Tiger_12-05-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,6/24/2012 3:50 PM,6/24/2012 5:29 PM,25091,99,0
Cyanobacterium_synechocystis_PCC6803,HLP_Oscar_Sl,HLP_Oscar_Sl_12_16Jun12_Tiger_12-05-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,6/18/2012 4:47 PM,6/18/2012 6:26 PM,26989,99,0
Cyanobacterium_synechocystis_PCC6803,HLP_Oscar_Gl,HLP_Oscar_Gl_4_16Jun12_Tiger_12-05-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,6/21/2012 12:11 AM,6/21/2012 1:50 AM,30347,99,0
Cyanobacterium_synechocystis_PCC6803,HLP_Oscar_InSl,HLP_Oscar_InSl_6_16Jun12_Tiger_12-05-06,VOrbiETD03,LC-Agilent-2D-Formic,HMS-MSn,6/19/2012 3:16 PM,6/19/2012 4:55 PM,25912,99,0
Cyanobacterium_synechocystis_PCC6803,HLP_TR2_18,HLP_TR2_18_5Oct12_Cougar_12-06-10-chk,VOrbiETD02,LC-Agilent-Formic_100minute,HMS-MSn,10/7/2012 2:11 AM,10/7/2012 3:50 AM,27135,99,0
Cyanothece_sp_ATCC51142,CTC_4_03s_O18_B_03,CTC_4_03s_O18_B_03_Orbi_15Aug07_Owl_07-04-15,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,8/15/2007 2:25 PM,8/15/2007 4:05 PM,17119,100,0
Cyanothece_sp_ATCC51142,CTC_4_15s_O18_B_05,CTC_4_15s_O18_B_05_Orbi_23Aug07_Owl_07-06-07,LTQ_FT1,LC-ISCO-Standard,HMS-MSn,8/23/2007 11:37 PM,8/24/2007 1:17 AM,15640,100,0
Cyanothece_sp_ATCC51142,Mixed_subcell-26,Mixed_subcell-26c_27Aug10_Falcon_10-07-37,LTQ_Orb_2,LC-ISCO-Formic_100minute,HMS-MSn,8/28/2010 3:05 PM,8/28/2010 4:45 PM,15902,100,0
